Año,INSTITUCION,% Deserción,INSTITUCION_LATITUDE,INSTITUCION_LONGITUD
2016,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,12.51548946716233,5.72067174,-72.9245456
2016,INSTITUCION EDUCATIVA INTEGRADA MARCO ANTONIO QUIJANO RICO,10.263929618768328,5.66525761,-72.88858632
2016,INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO,5.974316024567281,5.71504638,-72.93608788
2016,INSTITUCION EDUCATIVA LA INDEPENDENCIA,10.70110701107011,5.65464661,-72.93558742
2016,INSTITUCION EDUCATIVA LOS LIBERTADORES,6.958904109589041,5.72447061,-72.9373046
2016,INSTITUCION EDUCATIVA MAGDALENA,6.619987269255251,5.7166989,-72.94370468
2016,INSTITUCION EDUCATIVA NUEVA GRANADA,63.829787234042556,5.723033331,-72.93440694
2016,INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA,3.1514219830899313,5.70472631,-72.94317296
2016,INSTITUCION EDUCATIVA RAFAEL GUTIERREZ GIRARDOT,12.5,5.66652829,-72.92950943
2016,INSTITUCION EDUCATIVA SILVESTRE ARENAS,21.914556962025316,5.68939014,-72.94776401
2016,INSTITUCION EDUCATIVA TECNICA BELLAS ARTES,6.547619047619048,5.71458352,-72.93943304
2016,INSTITUCION EDUCATIVA TECNICA INDUSTRIAL GUSTAVO JIMENEZ,4.797047970479705,5.75943035,-72.90539833
2016,INSTITUCION EDUCATIVA TECNICO SAN MARTIN DE TOURS,4.651162790697675,5.71634364,-72.92501073
2016,INSTITUTO DE EDUCACION FORMAL COMFABOY,1.9157088122605364,5.715887661,-72.92654354
2016,INSTITUTO POLITECNICO JOSE CELESTINO MUTIS,35.04273504273504,5.716401302,-72.92742941
2016,INSTITUTO SAN MARTIN,12.413793103448276,5.714840604,-72.93236042
2016,INSTIUCION EDUCATIVA NUESTRA SEÑORA DE MORCA,20.64676616915423,5.72207519,-72.89166983
2016,JARDIN DE BARNEY,3.1914893617021276,5.714374089,-72.93328385
2016,JARDIN INFANTIL KINDER MARTICA,0.0,5.729814493,-72.91873981
2016,JARDIN INFANTIL MANITAS CREATIVAS,0.0,5.719474969,-72.93025072
2016,JARDIN INFANTIL PICARDIAS,0.0,5.724308081,-72.93804211
2016,JARDIN INFANTIL RAYITO DE SOL,50.0,5.716774858,-72.91667616
2016,JARDÍN INFANTIL PEDAGÓGICO,2.5,5.7238365,-72.92410187
2016,LICEO ANGLO AMERICANO,17.94871794871795,5.728058353,-72.92701841
2016,LICEO CAMPESTRE EL MUNDO QUE SOÑE S.A.S,0.0,5.716516685,-72.9311379
2016,LICEO COLOMBO ANDINO,4.45859872611465,5.720742171,-72.92927719
